idx,file,path,ext,bytes,sha16,width,height,ratio,bucket
1,007c9627af7e0fe8.png,dist/assets/pptx-media/007c9627af7e0fe8.png,png,38609,f745f43f46d23703,788,788,1.0,large-icon-or-logo-candidate
2,0081b693f8e229dc.png,dist/assets/pptx-media/0081b693f8e229dc.png,png,1620,fe919930175ecd2a,96,96,1.0,icon-candidate
3,00ad799ca0f5b0f9.png,dist/assets/pptx-media/00ad799ca0f5b0f9.png,png,28989,9fda45d75d6e70f0,784,784,1.0,large-icon-or-logo-candidate
4,00b007938d7b80bd.png,dist/assets/pptx-media/00b007938d7b80bd.png,png,1172,0009b008321b3993,96,96,1.0,icon-candidate
5,0155f5e8fed3b5ec.png,dist/assets/pptx-media/0155f5e8fed3b5ec.png,png,126559,b497139868cc33a3,2164,1696,1.276,other-candidate
6,015725b38d8cbe66.png,dist/assets/pptx-media/015725b38d8cbe66.png,png,901,f86c74aeea7736d4,96,96,1.0,icon-candidate
7,019f6500aa3ac44c.png,dist/assets/pptx-media/019f6500aa3ac44c.png,png,31902,c631e5b1a608138b,784,784,1.0,large-icon-or-logo-candidate
8,02a17cc4064075db.png,dist/assets/pptx-media/02a17cc4064075db.png,png,394770,85355e45e000f789,1416,1010,1.402,other-candidate
9,02bc9c904821ed62.png,dist/assets/pptx-media/02bc9c904821ed62.png,png,37287,cbef5c1b7d6de83c,784,784,1.0,large-icon-or-logo-candidate
10,02ff194a6c99225a.png,dist/assets/pptx-media/02ff194a6c99225a.png,png,2963144,7c63b5a5b55a5ba4,4828,4484,1.077,other-candidate
11,039298b1d47d5f5c.png,dist/assets/pptx-media/039298b1d47d5f5c.png,png,988,2d5723f386820e8a,96,96,1.0,icon-candidate
12,03bfceac5459f168.jpg,dist/assets/pptx-media/03bfceac5459f168.jpg,jpg,2114874,c1ff5c664384104a,5760,3240,1.778,other-candidate
13,0558f754dba3bfdf.png,dist/assets/pptx-media/0558f754dba3bfdf.png,png,37763,78185a14a429b473,788,788,1.0,large-icon-or-logo-candidate
14,059e3fbf526f097c.png,dist/assets/pptx-media/059e3fbf526f097c.png,png,1706,019a04cbb797da01,96,96,1.0,icon-candidate
